Episode,Reward,Duration
0,-163.65265585579266,64
1,-188.04087831611986,110
2,-150.98944572675703,92
3,-355.5333431013204,106
4,-165.45401439325417,98
5,-25.411871553716438,92
6,-389.675515115259,143
7,-273.1838625617761,90
8,-302.90003705111565,159
9,-122.4329364356057,225
10,-26.833879180278558,171
11,-82.99161099770845,222
12,-276.8040212333143,229
13,5.207477078243855,198
14,-104.02117392329255,173
15,-11.374472491536949,319
16,-61.489107106228786,1000
17,-87.41043159757227,1000
18,-63.35503754582635,1000
19,-51.9036820847832,1000
20,-52.859072409115754,1000
21,-92.32014405720868,1000
22,-166.44668314184887,795
23,-83.68318429106282,1000
24,144.36366050981187,792
25,1.6145429041487838,1000
26,-1.0884374837587956,181
27,150.95444436718876,830
28,112.555530315756,775
29,-24.5667661151902,1000
30,242.49363726524228,526
31,-30.696755970188274,1000
32,11.979801997455986,1000
33,-43.963971119061654,278
34,-13.766224287066157,1000
35,-183.85180633785012,198
36,-4.110744296720936,1000
37,261.99529416594385,662
38,-16.897659777474054,1000
39,-35.20087758836051,1000
40,-27.226346921662486,1000
41,-32.249697385319735,1000
42,-40.00633530723978,1000
43,-17.100289572820678,1000
44,-5.303052066191128,1000
45,1.2195018603615022,1000
46,-35.38729198602468,1000
47,18.873467617188176,1000
48,-57.097973446668945,1000
49,-21.570572806888098,1000
50,-71.69558793396189,1000
51,-43.24943614750348,1000
52,-1.0607399766197176,1000
53,-29.795086515329892,1000
54,-126.1640191651226,569
55,-68.21095565789065,1000
56,140.52448758986606,810
57,195.73139353339462,530
58,108.14477716330533,753
59,-8.897340918429096,1000
60,5.669899355552497,1000
61,-20.60298667924324,1000
62,5.5235500184295905,1000
63,-60.637889560079756,1000
64,-66.62053438684495,1000
65,-13.11269083625737,1000
66,-6.82524867463666,1000
67,-29.85248574140372,1000
68,-36.60430026109891,1000
69,-12.510679739659539,1000
70,-24.562750926150734,1000
71,-11.22335403545661,1000
72,-53.99441821783431,1000
73,-20.53821605084932,1000
74,-28.94779821771804,1000
75,-17.250051403536496,1000
76,-32.22396073271106,1000
77,-16.65378966575619,1000
78,-31.933690637339133,1000
79,-14.330559994417376,1000
80,-20.33793955273322,1000
81,-22.317738411576585,1000
82,-22.108693197475045,1000
83,-5.3794186966612765,1000
84,10.476389074395222,1000
85,-19.00288526198328,1000
86,18.16308678161849,1000
87,7.219765888303624,1000
88,-13.238612141140859,1000
89,19.590955064463195,1000
90,33.93607106699289,1000
91,-24.814438621928744,1000
92,-34.61170749876456,1000
93,47.03958889263846,1000
94,94.01406781389251,1000
95,269.5613956508462,333
96,231.45086606675764,386
97,123.4888967581842,1000
98,221.44799279842755,413
99,231.34522193341272,331
100,9.708832592157034,1000
101,-138.18319899254533,298
102,232.25868643359644,434
103,214.06398224930845,310
104,-18.262593776802714,1000
105,-0.4922487084262158,1000
106,296.08182195554974,360
107,2.53932936070378,1000
108,244.283262472971,806
109,261.0963615680808,367
110,2.544757831999627,1000
111,84.943128456418,1000
112,198.17546061995293,602
113,164.93971157038948,707
114,213.80740961847428,528
115,221.64857633211528,407
116,13.78374786483377,170
117,50.91435598922439,156
118,243.82573460054965,460
119,232.1153008068851,486
120,46.0459237298381,1000
121,219.49485797948796,358
122,218.42844608067324,436
123,228.72718602028957,490
124,227.33400460915215,291
125,236.97172056603063,362
126,222.54455274771948,290
127,247.11197655653524,452
128,84.39857047052921,1000
129,-29.164037777696144,1000
130,207.40828550390557,306
131,228.79092681871782,480
132,221.76565631692358,528
133,246.29223270933267,359
134,242.93141107044272,447
135,154.07505103669638,1000
136,104.26260224306087,1000
137,261.56542429335536,372
138,220.1987623494685,418
139,220.6294447212195,447
140,255.41148017870321,397
141,292.9347180649673,310
142,244.68937315891625,251
143,232.8457789216222,340
144,240.47439679459978,482
145,242.37059454298085,347
146,232.42931708302442,269
147,243.73570195832002,280
148,223.0750154609982,227
149,245.57113421078344,385
150,242.8570223752096,305
151,254.2484622134334,195
152,229.02750145540728,254
153,219.10873438892577,362
154,217.52416795762446,758
155,199.84154362808687,845
156,259.5679640271874,519
157,255.68433576424337,321
158,241.54371733921826,297
159,232.99607938464783,261
160,62.14187568305005,1000
161,256.05602642336044,411
162,250.5778574360906,306
163,266.7523317244177,573
164,221.55787720917795,446
165,219.05113797998655,916
166,127.64774310129684,1000
167,295.6588581774017,425
168,258.49375230549015,252
169,254.04080392268833,381
170,221.11679104782058,375
171,236.04163840837091,367
172,257.56489150855975,355
173,253.9759716595824,312
174,203.84673726629487,418
175,223.4554252412666,412
176,247.70844353658362,394
177,270.06771856413513,278
178,269.5885115817014,556
179,235.46655138153207,300
180,96.9636902038844,1000
181,218.07645489022684,942
182,253.12537538176406,371
183,271.59364319543914,339
184,274.2419413679322,211
185,213.420780839394,324
186,238.58459155230713,359
187,291.1715645721412,204
188,252.98496967771263,246
189,266.1020133819512,275
190,210.7295191237843,444
191,232.33919840786936,578
192,17.637892991965344,179
193,236.4331688564851,431
194,274.56546560217805,497
195,43.05649822693604,108
196,236.98640363765978,330
197,253.89143332069065,192
198,232.8300714001724,369
199,201.871771816815,444
200,260.88032988317775,267
201,230.6883991409881,326
202,248.5576762504932,324
203,258.9882144810459,292
204,38.07167342644172,132
205,133.61974516343852,1000
206,286.24700143613336,217
207,238.1677850094935,332
208,233.18249988666176,337
209,225.89046828204468,321
210,217.45823767414822,817
211,268.94640280975557,325
212,67.20287462853716,131
213,54.468886810777036,136
214,246.61773455140477,352
215,241.34888530666532,314
216,236.6994276486025,361
217,236.28341245794465,346
218,32.22128994230306,150
219,254.81663082788253,338
220,249.30557969838756,273
221,247.06721513811513,330
222,139.009265929799,1000
223,267.137027066006,273
224,249.2469265730368,297
225,256.75236373398405,353
226,236.82519060832345,290
227,21.66711238215997,125
228,14.75821758047664,133
229,244.43273819839408,210
230,274.1698888967371,210
231,236.47758609377564,302
232,285.7171170922893,253
233,234.2841433427315,379
234,264.4633673686335,280
235,241.60714732194901,411
236,219.5773098365113,900
237,245.7760409277423,283
238,268.0060876251278,322
239,237.65993904823895,299
240,226.79678407359,308
241,133.45978311641122,1000
242,238.3273419567831,533
243,233.0348809522714,285
244,228.12150810137317,467
245,-21.376034687369483,94
246,209.94894632333853,520
247,253.10015416894083,438
248,248.98495555044036,301
249,-58.59093912266064,91
250,-17.658435357047935,84
251,247.2499831559961,398
252,-16.353049981405334,87
253,237.2694245049172,391
254,224.6239709183157,423
